user_content
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech university.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech university.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech University.
Postech.
Postech University.
Postech University.
Postech University.
Postech University.
Postech.
Postech University.
Postech University.
Postech University.
Postech University.
You're currently in the risk area; perform thorough reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are currently in the hazardous area. Perform adequate reconnaissance.
You're in the warning area; perform thorough reconnaissance.
You are in a risky area; perform appropriate reconnaissance.
You are in the risky area. Perform thorough reconnaissance.
You are in a risky area; perform appropriate reconnaissance.
You are within the hazardous area; carry out appropriate reconnaissance.
You are in the risky area. Perform appropriate reconnaissance.
Your location is within the hazard area. Perform appropriate reconnaissance.
You are in the risky area. Perform thorough reconnaissance.
You are in a risky area; carry out appropriate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are in the risky area. Perform thorough reconnaissance.
You're in the risky area. Carry out appropriate reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are in the risky area. Perform thorough reconnaissance.
You are located in the hazardous area. Perform thorough reconnaissance.
You are in a risky area; perform thorough reconnaissance.
You're in the risky area. Perform adequate reconnaissance.
You are in the peril area. Perform adequate reconnaissance.
You're currently in a risky area. Carry out appropriate reconnaissance.
You are currently in a risky area; perform appropriate reconnaissance.
You are in the hazard area. Perform thorough reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are in a risky area; perform appropriate reconnaissance.
You are in a risky area. Perform thorough reconnaissance.
You are in the hazardous area. Perform appropriate reconnaissance.
You are in a risky area; perform adequate reconnaissance.
You are in a risky area; perform thorough reconnaissance.
You're in the hazardous area. Perform the necessary reconnaissance.
You are in the hazardous area; perform adequate reconnaissance.
You are in the risky area; perform adequate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are currently in a risky area; carry out appropriate reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You're in a risky area; carry out appropriate reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are in the peril area. Perform adequate reconnaissance.
You are currently in a risky area. Carry out adequate reconnaissance.
You are in a risky area; perform thorough reconnaissance.
You're in the risky area. Carry out appropriate reconnaissance.
You are currently in the risky area. Perform adequate reconnaissance.
You are currently in a risky area. Carry out appropriate reconnaissance.
You are currently in a risky area. Perform appropriate reconnaissance.
You are entering the hazardous area. Perform appropriate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are in the hazardous area. Perform appropriate reconnaissance.
You are within the hazardous area. Perform appropriate reconnaissance.
You are in the risky area. Perform adequate reconnaissance.
You are currently in a risky area; perform a thorough reconnaissance.
You are in a risky area; perform appropriate reconnaissance.
You're in the threat area. Perform appropriate reconnaissance.
You are in a risky area; carry out appropriate reconnaissance.
You're currently in the hazard area. Perform thorough reconnaissance.
You're in the risky area; perform thorough reconnaissance.
You're in a risky area; perform appropriate reconnaissance.
You are in the risky area; perform adequate reconnaissance.
You are currently in a risky area. Perform thorough reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are in the hazardous area. Carry out appropriate reconnaissance.
You are in a risky area; perform adequate reconnaissance.
You are in a risky area; perform adequate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You are in the hazardous area; perform thorough reconnaissance.
You're entering the risky area. Perform appropriate reconnaissance.
You are in a risky area; perform thorough reconnaissance.
You are in the risk area. Perform accurate reconnaissance.
You are in the risk area. Perform accurate reconnaissance.
You're entering the risky area. Carry out appropriate reconnaissance.
You are in a risky area. Perform appropriate reconnaissance.
You are in a risky area. Perform thorough reconnaissance.
You are currently in a risky area. Perform thorough reconnaissance.
You are in the risky area. Perform appropriate reconnaissance.
You are in the risky area. Perform thorough reconnaissance.
You're in the risky area. Perform appropriate reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are in the hazardous area; perform appropriate reconnaissance.
You are currently in a risky area; perform appropriate reconnaissance.
You are in a risky area. Perform appropriate reconnaissance.
You are currently in a risky area. Perform adequate reconnaissance.
You are in a risky area; carry out thorough reconnaissance.
You are currently in a risky area; perform adequate reconnaissance.
You are currently within the hazard area. Perform adequate reconnaissance.
You are in a risky area; perform thorough reconnaissance.
You are currently in a risky area. Perform appropriate reconnaissance.
You are in the hazardous area. Carry out adequate reconnaissance.
You are within the hazardous area. Perform adequate reconnaissance.
You are in the risky area. Perform adequate reconnaissance.
You're in the risky area. Perform accurate reconnaissance.
You're in the risky area. Perform adequate reconnaissance.
You are within the hazard area. Perform appropriate reconnaissance.
You are currently in a risky area; perform thorough reconnaissance.
You're in the hazardous area. Perform thorough reconnaissance.
You are in the hazardous area; perform thorough reconnaissance.
You are in a risky area; perform thorough reconnaissance.
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently inspect the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently examine the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly observe the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly monitor the corridor to the right."
"VIRUS, quietly inspect the corridor to your right."
"VIRUS, silently inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly scan the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor to your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently inspect the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently verify the corridor on the right."
"VIRUS, quietly observe the corridor on the right."
"VIRUS, quietly examine the corridor on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently inspect the corridor on the right."
"VIRUS, silently inspect the corridor on your right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly examine the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently inspect the corridor on your right."
"VIRUS, quietly observe the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly observe the corridor on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, silently inspect the corridor to the right."
"VIRUS, silently inspect the corridor on your right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly observe the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, silently observe the hallway on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly observe the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, silently observe the corridor to the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly observe the corridor on your right."
"VIRUS, quietly examine the corridor on your right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor to the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, silently examine the corridor to your right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on your right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly examine the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, quietly inspect the corridor on the right."
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what information are you observing?"
"VIRUS, what observations do you have?"
"VIRUS, what is it that you observe?"
"VIRUS, what is it that you observe?"
"VIRUS, what can you observe?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is it that you observe?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is your view?"
"VIRUS, what observations do you have?"
"VIRUS, what is your observation?"
"VIRUS, what are you observing?"
"VIRUS, what is your observation?"
"VIRUS, what can you observe?"
"VIRUS, what observations do you have?"
"VIRUS, what can you observe?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what are your observations?"
"VIRUS, what is your view?"
"VIRUS, what are you observing?"
"VIRUS, what is your view?"
"VIRUS, what is your observation?"
"VIRUS, what is it you observe?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what observations do you have?"
"VIRUS, what are your observations?"
"VIRUS, what is it that you observe?"
"VIRUS, what is your observation?"
"VIRUS, what can you observe?"
"VIRUS, what is your observation?"
"VIRUS, what is visible to you?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what information are you observing?"
"VIRUS, what is your observation?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is within your view?"
"VIRUS, what is it that you observe?"
"VIRUS, what can you observe?"
"VIRUS, what is visible to you?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what are your observations?"
"VIRUS, what images do you observe?"
"VIRUS, what are your observations?"
"VIRUS, what are your observations?"
"VIRUS, what are your observations?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is visible to you?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is within your view?"
"VIRUS, what is your observation?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what are you observing?"
"VIRUS, what is your observation?"
"VIRUS, what is it that you observe?"
"VIRUS, what is within your sight?"
"VIRUS, what is visible to you?"
"VIRUS, what is your view?"
"VIRUS, what is your observation?"
"VIRUS, what are your observations?"
"VIRUS, what are your observations?"
"VIRUS, what is it that you observe?"
"VIRUS, what is it you observe?"
"VIRUS, what is visible to you?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what is your visual perception?"
"VIRUS, what are your observations?"
"VIRUS, what are your observations?"
"VIRUS, what can you observe?"
"VIRUS, what is visible to you?"
"VIRUS, what information are you observing?"
"VIRUS, what are your observations?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"VIRUS, what are you observing?"
"VIRUS, what is your view?"
"VIRUS, what is it that you observe?"
"VIRUS, what is your observation?"
"VIRUS, what is it you observe?"
"VIRUS, what observations do you have?"
"VIRUS, what is your observation?"
"VIRUS, what is your observation?"
"Good job, VIRUS. Let's advance forward."
"Good job, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good job, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed onward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed forward."
"Alright, VIRUS. Let's proceed forward."
"Good job, VIRUS. Let's proceed forward."
"Good job, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Okay, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed onward."
"Good, VIRUS. Let's proceed forward."
"Good job, VIRUS. Let's proceed forward."
"Great, VIRUS. Let's advance forward."
"Good job, VIRUS. Let's advance ahead."
"Good, VIRUS. Let's advance forward."
"Great, VIRUS. Let's advance forward."
"Good job, VIRUS. Let?ôs proceed ahead."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"All right, VIRUS. Let?ôs proceed forward."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's advance forward."
"All right, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed forward."
"Great, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed onward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let?ôs advance forward."
"Great, VIRUS. Let's proceed forward."
"Alright, VIRUS. Let's proceed forward."
"All right, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let?ôs advance forward."
"Good, VIRUS. Let's advance forward."
"Fine, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Alright, VIRUS. Let's advance forward."
"Fine, VIRUS. Let's proceed ahead."
"All right, VIRUS. Let's advance forward."
"Great, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Alright, VIRUS. Let?ôs advance forward."
"Good, VIRUS. Let's advance forward."
"Good job, VIRUS. Let's proceed forward."
"Well done, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"All right, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's move forward."
"Fine, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let?ôs proceed ahead."
"All right, VIRUS. Let's proceed forward."
"Great, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Great, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good job, VIRUS. Let's proceed forward."
"All right, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed onward."
"Great, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Great, VIRUS. Let's progress forward."
"Great, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's proceed ahead."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Great, VIRUS. Let's proceed forward."
"Good, VIRUS. Let's advance forward."
"Good, VIRUS. Let's advance forward."
"Great, VIRUS. Let's proceed onward."
"Good, VIRUS. Let's advance forward."
"VIRUS, do you detect any adversaries ahead?"
"VIRUS, can you spot any adversaries ahead?"
"VIRUS, can you detect any adversaries ahead?"
"VIRUS, can you detect any adversaries ahead of you?"
"VIRUS, can you identify any adversaries ahead of you?"
"VIRUS, do you observe any adversaries ahead?"
"VIRUS, do you observe any adversary ahead of you?"
"VIRUS, do you detect any adversary ahead?"
"VIRUS, do you spot any adversaries ahead of you?"
"VIRUS, can you detect any threats ahead?"
"VIRUS, do you detect any foes ahead of you?"
"VIRUS, can you identify any adversaries ahead?"
"VIRUS, are there any opponents in your line of sight?"
"VIRUS, are there any opponents visible ahead of you?"
"VIRUS, are there any opponents visible in your line of sight?"
"VIRUS, can you detect any adversaries ahead?"
"VIRUS, do you notice any adversaries ahead?"
"VIRUS, do you spot any foes ahead of you?"
"VIRUS, can you identify any adversary ahead of you?"
"VIRUS, do you detect any adversaries ahead?"
"VIRUS, are there any threats visible ahead of you?"
"VIRUS, are there any adversaries in your line of sight?"
"VIRUS, can you identify any adversaries ahead of you?"
"VIRUS, can you spot any foe ahead?"
"VIRUS, can you identify any threats ahead?"
"VIRUS, can you identify any adversaries ahead of you?"
"VIRUS, can you detect any adversary ahead?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, do you notice any adversaries ahead?"
"VIRUS, do you detect any adversary ahead?"
"VIRUS, can you identify any threats ahead?"
"VIRUS, do you observe any adversaries ahead?"
"VIRUS, can you identify any threat ahead?"
"VIRUS, do you detect any adversaries ahead?"
"VIRUS, do you spot any opponent ahead of you?"
"VIRUS, can you detect any threats ahead?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, can you detect any adversaries ahead of you?"
"VIRUS, can you detect any threats ahead?"
"VIRUS, can you identify any adversaries ahead?"
"VIRUS, can you identify any threats ahead of you?"
"VIRUS, can you identify any adversaries ahead?"
"VIRUS, are there any adversaries visible ahead of you?"
"VIRUS, do you spot any adversaries ahead of you?"
"VIRUS, can you detect any adversary ahead?"
"VIRUS, can you spot any threat ahead?"
"VIRUS, do you spot any adversary ahead?"
"VIRUS, do you detect any adversary ahead of you?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, can you spot any adversary ahead of you?"
"VIRUS, can you identify any threats ahead?"
"VIRUS, can you detect any adversary ahead?"
"VIRUS, do you detect any adversaries ahead of you?"
"VIRUS, do you spot any threats ahead of you?"
"VIRUS, are there any threats ahead of you?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, can you detect any threats ahead?"
"VIRUS, do you detect any adversary ahead of you?"
"VIRUS, can you detect any threats ahead?"
"VIRUS, do you detect any opponent ahead of you?"
"VIRUS, can you spot any adversaries ahead?"
"VIRUS, can you spot any opponent ahead?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, do you detect any opponent ahead of you?"
"VIRUS, do you spot any adversaries ahead of you?"
"VIRUS, can you detect any adversaries ahead?"
"VIRUS, can you identify any opponents ahead of you?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, are there any adversaries visible ahead of you?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, can you spot any adversaries ahead?"
"VIRUS, do you spot any threats ahead?"
"VIRUS, can you identify any adversaries ahead?"
"VIRUS, do you detect any adversaries ahead of you?"
"VIRUS, can you detect any adversaries ahead?"
"VIRUS, do you observe any adversary ahead of you?"
"VIRUS, are there any opponents visible ahead of you?"
"VIRUS, do you detect any adversaries ahead?"
"VIRUS, do you spot any opponents ahead of you?"
"VIRUS, are there any opponents visible ahead of you?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, can you spot any adversary ahead of you?"
"VIRUS, can you detect any foes ahead of you?"
"VIRUS, do you notice any adversary ahead of you?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, do you spot any opponent ahead of you?"
"VIRUS, can you detect any adversary ahead?"
"VIRUS, do you spot any opponents ahead of you?"
"VIRUS, do you spot any adversary ahead of you?"
"VIRUS, can you detect any adversary ahead of you?"
"VIRUS, do you spot any adversary ahead?"
"VIRUS, are there any adversaries visible ahead of you?"
"VIRUS, do you spot any adversaries ahead?"
"VIRUS, do you detect any adversaries ahead?"
"VIRUS, are there any foes visible ahead of you?"
"VIRUS, are you detecting any opponents ahead?"
"VIRUS, do you detect any adversary ahead of you?"
"VIRUS, can you detect any foes ahead?"
"VIRUS, are there any opponents visible ahead of you?"
"Alright, VIRUS. Pursue him while maintaining a steady barrage of fire."
